doc_id,file_name,table_number,table_title,subentry_index,subentry_label,subentry_printed_page,subentry_page_index_estimate
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",2,II.—Employers,1189,86
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",3,"III.—Working on own account, but not employing labour",1190,87
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",4,IV.—Assisting but not receiving wages or salary,1191,88
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",5,V.—In receipt of wages or salary,1192,89
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",6,VI.—Unemployed,1193,90
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",7,VII.—Not Applicable,1194,91
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",8,VIII.—Not Stated,1195,92
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",1,I.—New South Wales.—All Grades,1196,93
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",2,II.—Victoria.—All Grades,1197,94
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",3,III.—Queensland.—All Grades,1198,95
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",4,IV.—South Australia.—All Grades,1199,96
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",5,V.—Western Australia.—All Grades,1200,97
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",6,VI.—Tasmania.—All Grades,1201,98
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",7,VII.—Northern Territory.—All Grades,1202,99
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,21,"Average Issue of Husbands in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation and Age",8,VIII.—Federal Capital Territory.—All Grades,1203,100
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",1,I.—New South Wales,1844,565
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",2,II.—Victoria,1844,565
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",3,III.—Queensland,1845,566
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",4,IV.—South Australia,1845,566
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",5,V.—Western Australia,1845,566
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",6,VI.—Tasmania,1845,566
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",7,VII.—Northern Territory,1846,567
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,90,"Unemployed Males in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",8,VIII.—Federal Capital Territory,1846,567
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",1,I.—New South Wales,1847,568
